Name,Package URL,Github,ecosystem,Mean,Median,Range,q1,q2,q3,Std,totalContributors
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,0.03018942383583267,0.0055248618784530384,0.994475138121547,0.0055248618784530384,0.0055248618784530384,0.011049723756906077,0.1334978433003154,56
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,0.03050359712230216,0.007194244604316547,0.9928057553956835,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.11586584998074394,100
fs-extra,https://www.npmjs.com/package/fs-extra,https://github.com/jprichardson/node-fs-extra,npm,0.01852172741100137,0.0016750418760469012,0.998324958123953,0.0016750418760469012,0.0016750418760469012,0.0033500837520938024,0.10982438343216411,87
glob,https://www.npmjs.com/package/glob,https://github.com/isaacs/node-glob,npm,0.026350874441220293,0.001607717041800643,0.9983922829581994,0.001607717041800643,0.001607717041800643,0.001607717041800643,0.15394938908280567,41
axios,https://www.npmjs.com/package/axios,https://github.com/axios/axios,npm,0.03368115942028986,0.005797101449275362,0.9971014492753624,0.002898550724637681,0.005797101449275362,0.008695652173913044,0.12749391919967104,100
uuid,https://www.npmjs.com/package/uuid,https://github.com/uuidjs/uuid,npm,0.03121468926553672,0.00423728813559322,0.9957627118644068,0.00423728813559322,0.00423728813559322,0.00423728813559322,0.1419670000304337,60
semver,https://www.npmjs.com/package/semver,https://github.com/npm/node-semver,npm,0.02245963912630579,0.0038461538461538464,0.9961538461538462,0.0038461538461538464,0.0038461538461538464,0.007692307692307693,0.11131056521224908,81
async,https://www.npmjs.com/package/async,https://github.com/caolan/async,npm,0.02540476190476191,0.004761904761904762,0.9976190476190476,0.004761904761904762,0.004761904761904762,0.009523809523809525,0.10770121968245501,100
rimraf,https://www.npmjs.com/package/rimraf,https://github.com/isaacs/rimraf,npm,0.04040264754550469,0.003861003861003861,0.9961389961389961,0.003861003861003861,0.003861003861003861,0.003861003861003861,0.18468783626888874,28
express,https://www.npmjs.com/package/express,https://github.com/expressjs/express,npm,0.014196200737170398,0.0005670541536716756,0.9997164729231641,0.0002835270768358378,0.0005670541536716756,0.0008505812305075135,0.10387731963306747,100
typescript,https://www.npmjs.com/package/typescript,https://github.com/Microsoft/TypeScript,npm,0.08253708156881104,0.007038581856100104,0.9976538060479666,0.003910323253388947,0.007038581856100104,0.0513555787278415,0.17915890240685034,98
react,https://www.npmjs.com/package/react,https://github.com/facebook/react,npm,0.06538744924673533,0.009311950336264873,0.9958613554061045,0.005173305742369374,0.009311950336264873,0.03776513191929643,0.17432273058272435,99
dotenv,https://www.npmjs.com/package/dotenv,https://github.com/motdotla/dotenv,npm,0.01818860877684407,0.0028011204481792717,0.9971988795518207,0.0028011204481792717,0.0028011204481792717,0.0028011204481792717,0.11451284923924818,75
