Name,Package URL,Github,ecosystem,health_percentage,description,readme,code_of_conduct,contributing,license,pull_request_template,admin_accepts_content_report
commander,https://www.npmjs.com/package/commander,https://github.com/tj/commander.js,npm,85,true,true,false,true,true,true,false
fs-extra,https://www.npmjs.com/package/fs-extra,https://github.com/jprichardson/node-fs-extra,npm,42,true,true,false,false,true,false,false
glob,https://www.npmjs.com/package/glob,https://github.com/isaacs/node-glob,npm,57,true,true,false,true,true,false,false
async,https://www.npmjs.com/package/async,https://github.com/caolan/async,npm,42,true,true,false,false,true,false,false
rimraf,https://www.npmjs.com/package/rimraf,https://github.com/isaacs/rimraf,npm,42,true,true,false,false,true,false,false
dotenv,https://www.npmjs.com/package/dotenv,https://github.com/motdotla/dotenv,npm,57,true,true,false,true,true,false,false
inquirer,https://www.npmjs.com/package/inquirer,https://github.com/SBoudrias/Inquirer.js,npm,71,true,true,false,true,true,false,false
bluebird,https://www.npmjs.com/package/bluebird,https://github.com/petkaantonov/bluebird,npm,57,true,true,false,true,true,false,false
minimatch,https://www.npmjs.com/package/minimatch,https://github.com/isaacs/minimatch,npm,42,true,true,false,false,true,false,false
lru-cache,https://www.npmjs.com/package/lru-cache,https://github.com/isaacs/node-lru-cache,npm,57,true,true,false,true,true,false,false
colors,https://www.npmjs.com/package/colors,https://github.com/Marak/colors.js,npm,42,true,true,false,false,true,false,false
underscore,https://www.npmjs.com/package/underscore,https://github.com/jashkenas/underscore,npm,85,true,true,true,true,true,false,false
classnames,https://www.npmjs.com/package/classnames,https://github.com/JedWatson/classnames,npm,57,true,true,false,true,true,false,false
through2,https://www.npmjs.com/package/through2,https://github.com/rvagg/through2,npm,42,true,true,false,false,true,false,false
chokidar,https://www.npmjs.com/package/chokidar,https://github.com/paulmillr/chokidar,npm,57,true,true,false,false,true,false,false
mime,https://www.npmjs.com/package/mime,https://github.com/broofa/mime,npm,71,true,true,false,true,true,true,false
ora,https://www.npmjs.com/package/ora,https://github.com/sindresorhus/ora,npm,85,true,true,true,true,true,false,false
execa,https://www.npmjs.com/package/execa,https://github.com/sindresorhus/execa,npm,85,true,true,true,true,true,false,false
iconv-lite,https://www.npmjs.com/package/iconv-lite,https://github.com/ashtuchkin/iconv-lite,npm,42,true,true,false,false,true,false,false
xml2js,https://www.npmjs.com/package/xml2js,https://github.com/Leonidas-from-XIV/node-xml2js,npm,57,true,true,false,true,true,false,false
jsonfile,https://www.npmjs.com/package/jsonfile,https://github.com/jprichardson/node-jsonfile,npm,42,true,true,false,false,true,false,false
