Name,Package URL,Github,ecosystem,number,created_at,openByOutsider,comments,returnByInsider,reply_at
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,604,2023-07-12T19:22:19Z,true,1,true,2023-07-22T15:40:22Z
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,945,2023-10-07T11:44:34Z,true,0,false,
fs-extra,https://www.npmjs.com/package/fs-extra,https://github.com/jprichardson/node-fs-extra,npm,1019,2023-10-12T21:02:10Z,true,3,true,2023-10-13T16:28:48Z
glob,https://www.npmjs.com/package/glob,https://github.com/isaacs/node-glob,npm,544,2023-08-01T16:59:12Z,true,4,true,2023-08-06T00:49:49Z
axios,https://www.npmjs.com/package/axios,https://github.com/axios/axios,npm,6002,2023-10-15T08:38:54Z,true,0,false,
uuid,https://www.npmjs.com/package/uuid,https://github.com/uuidjs/uuid,npm,736,2023-09-30T13:25:05Z,true,8,true,2023-09-30T16:08:11Z
semver,https://www.npmjs.com/package/semver,https://github.com/npm/node-semver,npm,638,2023-10-11T06:22:06Z,false,0,false,
async,https://www.npmjs.com/package/async,https://github.com/caolan/async,npm,1919,2023-10-01T15:29:23Z,false,0,false,
rimraf,https://www.npmjs.com/package/rimraf,https://github.com/isaacs/rimraf,npm,291,2023-10-04T06:11:17Z,true,1,false,
express,https://www.npmjs.com/package/express,https://github.com/expressjs/express,npm,5283,2023-10-15T11:30:09Z,true,0,false,
typescript,https://www.npmjs.com/package/typescript,https://github.com/Microsoft/TypeScript,npm,56111,2023-10-15T19:57:19Z,false,1,true,2023-10-15T19:57:19Z
react,https://www.npmjs.com/package/react,https://github.com/facebook/react,npm,27524,2023-10-15T15:29:28Z,true,0,false,
dotenv,https://www.npmjs.com/package/dotenv,https://github.com/motdotla/dotenv,npm,776,2023-10-04T18:42:23Z,true,2,false,
inquirer,https://www.npmjs.com/package/inquirer,https://github.com/SBoudrias/Inquirer.js,npm,1316,2023-10-08T19:49:23Z,true,2,false,
eslint,https://www.npmjs.com/package/eslint,https://github.com/eslint/eslint,npm,17652,2023-10-14T21:03:20Z,true,3,true,2023-10-14T22:01:46Z
body-parser,https://www.npmjs.com/package/body-parser,https://github.com/expressjs/body-parser,npm,505,2023-09-26T09:03:21Z,true,0,false,
node-fetch,https://www.npmjs.com/package/node-fetch,https://github.com/node-fetch/node-fetch,npm,1781,2023-10-09T10:21:21Z,true,3,false,
js-yaml,https://www.npmjs.com/package/js-yaml,https://github.com/nodeca/js-yaml,npm,710,2023-08-07T15:37:21Z,true,0,false,
