Name,Package URL,Github,ecosystem,health_percentage,description,readme,code_of_conduct,contributing,license,pull_request_template,admin_accepts_content_report
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,75,true,true,true,true,true,false,false
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,50,true,true,false,false,true,false,true
fs-extra,https://www.npmjs.com/package/fs-extra,https://github.com/jprichardson/node-fs-extra,npm,42,true,true,false,false,true,false,false
glob,https://www.npmjs.com/package/glob,https://github.com/isaacs/node-glob,npm,57,true,true,false,true,true,false,false
axios,https://www.npmjs.com/package/axios,https://github.com/axios/axios,npm,87,true,true,true,true,true,true,false
uuid,https://www.npmjs.com/package/uuid,https://github.com/uuidjs/uuid,npm,75,true,true,false,true,true,true,false
semver,https://www.npmjs.com/package/semver,https://github.com/npm/node-semver,npm,87,true,true,true,true,true,true,false
async,https://www.npmjs.com/package/async,https://github.com/caolan/async,npm,42,true,true,false,false,true,false,false
rimraf,https://www.npmjs.com/package/rimraf,https://github.com/isaacs/rimraf,npm,42,true,true,false,false,true,false,false
express,https://www.npmjs.com/package/express,https://github.com/expressjs/express,npm,75,true,true,true,true,true,false,false
typescript,https://www.npmjs.com/package/typescript,https://github.com/Microsoft/TypeScript,npm,87,true,true,true,true,true,true,false
react,https://www.npmjs.com/package/react,https://github.com/facebook/react,npm,100,true,true,true,true,true,true,true
dotenv,https://www.npmjs.com/package/dotenv,https://github.com/motdotla/dotenv,npm,57,true,true,false,true,true,false,false
inquirer,https://www.npmjs.com/package/inquirer,https://github.com/SBoudrias/Inquirer.js,npm,71,true,true,false,true,true,false,false
eslint,https://www.npmjs.com/package/eslint,https://github.com/eslint/eslint,npm,87,true,true,true,true,true,true,false
body-parser,https://www.npmjs.com/package/body-parser,https://github.com/expressjs/body-parser,npm,50,true,true,false,false,true,false,false
node-fetch,https://www.npmjs.com/package/node-fetch,https://github.com/node-fetch/node-fetch,npm,87,true,true,true,true,true,true,false
js-yaml,https://www.npmjs.com/package/js-yaml,https://github.com/nodeca/js-yaml,npm,50,true,true,false,false,true,false,false
commander,https://www.npmjs.com/package/commander,https://github.com/tj/commander.js,npm,85,true,true,false,true,true,true,false
qs,https://www.npmjs.com/package/qs,https://github.com/ljharb/qs,npm,85,true,true,true,true,true,false,false
react-dom,https://www.npmjs.com/package/react-dom,https://github.com/facebook/react,npm,100,true,true,true,true,true,true,true
lru-cache,https://www.npmjs.com/package/lru-cache,https://github.com/isaacs/node-lru-cache,npm,57,true,true,false,true,true,false,false
minimatch,https://www.npmjs.com/package/minimatch,https://github.com/isaacs/minimatch,npm,42,true,true,false,false,true,false,false
lodash,https://www.npmjs.com/package/lodash,https://github.com/lodash/lodash,npm,62,true,true,false,true,true,false,false
tslib,https://www.npmjs.com/package/tslib,https://github.com/Microsoft/tslib,npm,62,true,true,true,false,true,false,false
ajv,https://www.npmjs.com/package/ajv,https://github.com/ajv-validator/ajv,npm,100,true,true,true,true,true,true,true
underscore,https://www.npmjs.com/package/underscore,https://github.com/jashkenas/underscore,npm,85,true,true,true,true,true,false,false
@types/node,https://www.npmjs.com/package/%40types%2Fnode,https://github.com/DefinitelyTyped/DefinitelyTyped,npm,62,true,true,false,false,true,true,false
jsonwebtoken,https://www.npmjs.com/package/jsonwebtoken,https://github.com/auth0/node-jsonwebtoken,npm,75,true,true,false,true,true,true,false
yargs,https://www.npmjs.com/package/yargs,https://github.com/yargs/yargs,npm,62,true,true,true,true,true,false,false
winston,https://www.npmjs.com/package/winston,https://github.com/winstonjs/winston,npm,75,true,true,true,true,true,false,false
ms,https://www.npmjs.com/package/ms,https://github.com/vercel/ms,npm,62,true,true,false,false,true,false,true
rxjs,https://www.npmjs.com/package/rxjs,https://github.com/reactivex/rxjs,npm,87,true,true,true,true,true,true,true
execa,https://www.npmjs.com/package/execa,https://github.com/sindresorhus/execa,npm,85,true,true,true,true,true,false,false
form-data,https://www.npmjs.com/package/form-data,https://github.com/form-data/form-data,npm,37,true,true,false,false,true,false,false
mime,https://www.npmjs.com/package/mime,https://github.com/broofa/mime,npm,57,true,true,false,true,true,false,false
prop-types,https://www.npmjs.com/package/prop-types,https://github.com/facebook/prop-types,npm,75,true,true,true,true,true,false,false
ejs,https://www.npmjs.com/package/ejs,https://github.com/mde/ejs,npm,71,true,true,true,false,true,false,false
iconv-lite,https://www.npmjs.com/package/iconv-lite,https://github.com/ashtuchkin/iconv-lite,npm,42,true,true,false,false,true,false,false
colors,https://www.npmjs.com/package/colors,https://github.com/Marak/colors.js,npm,42,true,true,false,false,true,false,false
open,https://www.npmjs.com/package/open,https://github.com/sindresorhus/open,npm,85,true,true,true,true,true,false,false
moment,https://www.npmjs.com/package/moment,https://github.com/moment/moment,npm,62,true,true,false,true,true,false,false
jquery,https://www.npmjs.com/package/jquery,https://github.com/jquery/jquery,npm,100,true,true,true,true,true,true,true
mkdirp,https://www.npmjs.com/package/mkdirp,https://github.com/isaacs/node-mkdirp,npm,0,false,false,false,false,false,false,false
minimist,https://www.npmjs.com/package/minimist,https://github.com/minimistjs/minimist,npm,75,true,true,true,true,true,false,false
path-to-regexp,https://www.npmjs.com/package/path-to-regexp,https://github.com/pillarjs/path-to-regexp,npm,50,true,true,false,false,true,false,true
readable-stream,https://www.npmjs.com/package/readable-stream,https://github.com/nodejs/readable-stream,npm,75,true,true,true,true,true,false,false
cross-spawn,https://www.npmjs.com/package/cross-spawn,https://github.com/moxystudio/node-cross-spawn,npm,37,true,true,false,false,true,false,false
xml2js,https://www.npmjs.com/package/xml2js,https://github.com/Leonidas-from-XIV/node-xml2js,npm,57,true,true,false,true,true,false,false
ora,https://www.npmjs.com/package/ora,https://github.com/sindresorhus/ora,npm,85,true,true,true,true,true,false,false
resolve,https://www.npmjs.com/package/resolve,https://github.com/browserify/resolve,npm,50,true,true,false,false,true,false,false
webpack,https://www.npmjs.com/package/webpack,https://github.com/webpack/webpack,npm,100,true,true,true,true,true,true,true
prettier,https://www.npmjs.com/package/prettier,https://github.com/prettier/prettier,npm,87,true,true,true,true,true,true,false
bluebird,https://www.npmjs.com/package/bluebird,https://github.com/petkaantonov/bluebird,npm,57,true,true,false,true,true,false,false
object-assign,https://www.npmjs.com/package/object-assign,https://github.com/sindresorhus/object-assign,npm,85,true,true,true,true,true,false,false
jest,https://www.npmjs.com/package/jest,https://github.com/jestjs/jest,npm,75,true,true,true,true,true,true,false
jsdom,https://www.npmjs.com/package/jsdom,https://github.com/jsdom/jsdom,npm,62,true,true,false,true,true,false,false
classnames,https://www.npmjs.com/package/classnames,https://github.com/JedWatson/classnames,npm,57,true,true,false,true,true,false,false
cheerio,https://www.npmjs.com/package/cheerio,https://github.com/cheeriojs/cheerio,npm,75,true,true,false,true,true,false,true
ws,https://www.npmjs.com/package/ws,https://github.com/websockets/ws,npm,50,true,true,false,false,true,false,false
shelljs,https://www.npmjs.com/package/shelljs,https://github.com/shelljs/shelljs,npm,62,true,true,false,true,true,false,false
eslint-plugin-import,https://www.npmjs.com/package/eslint-plugin-import,https://github.com/import-js/eslint-plugin-import,npm,75,true,true,true,true,true,false,false
uglify-js,https://www.npmjs.com/package/uglify-js,https://github.com/mishoo/UglifyJS,npm,71,true,true,false,true,true,false,false
postcss,https://www.npmjs.com/package/postcss,https://github.com/postcss/postcss,npm,50,true,true,false,true,true,false,false
eslint-plugin-react,https://www.npmjs.com/package/eslint-plugin-react,https://github.com/jsx-eslint/eslint-plugin-react,npm,75,true,true,true,true,true,false,false
cookie,https://www.npmjs.com/package/cookie,https://github.com/jshttp/cookie,npm,50,true,true,false,false,true,false,false
