Name,Package URL,Github,ecosystem,goodFirstIssue
chalk,https://www.npmjs.com/package/chalk,https://github.com/chalk/chalk,npm,false
debug,https://www.npmjs.com/package/debug,https://github.com/debug-js/debug,npm,false
fs-extra,https://www.npmjs.com/package/fs-extra,https://github.com/jprichardson/node-fs-extra,npm,false
glob,https://www.npmjs.com/package/glob,https://github.com/isaacs/node-glob,npm,false
axios,https://www.npmjs.com/package/axios,https://github.com/axios/axios,npm,false
uuid,https://www.npmjs.com/package/uuid,https://github.com/uuidjs/uuid,npm,false
semver,https://www.npmjs.com/package/semver,https://github.com/npm/node-semver,npm,true
async,https://www.npmjs.com/package/async,https://github.com/caolan/async,npm,false
rimraf,https://www.npmjs.com/package/rimraf,https://github.com/isaacs/rimraf,npm,false
express,https://www.npmjs.com/package/express,https://github.com/expressjs/express,npm,false
typescript,https://www.npmjs.com/package/typescript,https://github.com/Microsoft/TypeScript,npm,true
react,https://www.npmjs.com/package/react,https://github.com/facebook/react,npm,true
dotenv,https://www.npmjs.com/package/dotenv,https://github.com/motdotla/dotenv,npm,false
inquirer,https://www.npmjs.com/package/inquirer,https://github.com/SBoudrias/Inquirer.js,npm,true
eslint,https://www.npmjs.com/package/eslint,https://github.com/eslint/eslint,npm,true
body-parser,https://www.npmjs.com/package/body-parser,https://github.com/expressjs/body-parser,npm,false
node-fetch,https://www.npmjs.com/package/node-fetch,https://github.com/node-fetch/node-fetch,npm,true
js-yaml,https://www.npmjs.com/package/js-yaml,https://github.com/nodeca/js-yaml,npm,false
commander,https://www.npmjs.com/package/commander,https://github.com/tj/commander.js,npm,false
qs,https://www.npmjs.com/package/qs,https://github.com/ljharb/qs,npm,false
react-dom,https://www.npmjs.com/package/react-dom,https://github.com/facebook/react,npm,true
lru-cache,https://www.npmjs.com/package/lru-cache,https://github.com/isaacs/node-lru-cache,npm,false
minimatch,https://www.npmjs.com/package/minimatch,https://github.com/isaacs/minimatch,npm,false
lodash,https://www.npmjs.com/package/lodash,https://github.com/lodash/lodash,npm,false
tslib,https://www.npmjs.com/package/tslib,https://github.com/Microsoft/tslib,npm,false
ajv,https://www.npmjs.com/package/ajv,https://github.com/ajv-validator/ajv,npm,false
underscore,https://www.npmjs.com/package/underscore,https://github.com/jashkenas/underscore,npm,false
@types/node,https://www.npmjs.com/package/%40types%2Fnode,https://github.com/DefinitelyTyped/DefinitelyTyped,npm,false
jsonwebtoken,https://www.npmjs.com/package/jsonwebtoken,https://github.com/auth0/node-jsonwebtoken,npm,false
yargs,https://www.npmjs.com/package/yargs,https://github.com/yargs/yargs,npm,false
winston,https://www.npmjs.com/package/winston,https://github.com/winstonjs/winston,npm,true
ms,https://www.npmjs.com/package/ms,https://github.com/vercel/ms,npm,false
rxjs,https://www.npmjs.com/package/rxjs,https://github.com/reactivex/rxjs,npm,false
execa,https://www.npmjs.com/package/execa,https://github.com/sindresorhus/execa,npm,false
form-data,https://www.npmjs.com/package/form-data,https://github.com/form-data/form-data,npm,false
mime,https://www.npmjs.com/package/mime,https://github.com/broofa/mime,npm,true
prop-types,https://www.npmjs.com/package/prop-types,https://github.com/facebook/prop-types,npm,false
ejs,https://www.npmjs.com/package/ejs,https://github.com/mde/ejs,npm,false
iconv-lite,https://www.npmjs.com/package/iconv-lite,https://github.com/ashtuchkin/iconv-lite,npm,false
colors,https://www.npmjs.com/package/colors,https://github.com/Marak/colors.js,npm,false
open,https://www.npmjs.com/package/open,https://github.com/sindresorhus/open,npm,false
moment,https://www.npmjs.com/package/moment,https://github.com/moment/moment,npm,false
jquery,https://www.npmjs.com/package/jquery,https://github.com/jquery/jquery,npm,false
mkdirp,https://www.npmjs.com/package/mkdirp,https://github.com/isaacs/node-mkdirp,npm,false
minimist,https://www.npmjs.com/package/minimist,https://github.com/minimistjs/minimist,npm,true
path-to-regexp,https://www.npmjs.com/package/path-to-regexp,https://github.com/pillarjs/path-to-regexp,npm,false
