Name,Package URL,Github, Dependent Packages Count
junit:junit,http://junit.org,https://github.com/junit-team/junit4,97196
org.springframework.boot:spring-boot-starter-test,https://spring.io/projects/spring-boot,https://github.com/spring-projects/spring-boot,8980
org.projectlombok:lombok,https://projectlombok.org,https://github.com/projectlombok/lombok,16310
org.slf4j:slf4j-api,http://www.slf4j.org,https://github.com/qos-ch/slf4j,54025
com.google.code.gson:gson,https://github.com/google/gson,https://github.com/google/gson,13282
org.jetbrains.kotlin:kotlin-stdlib-jdk7,https://kotlinlang.org/,https://github.com/JetBrains/kotlin,3040
com.h2database:h2,https://h2database.com,https://github.com/h2database/h2database,7714
com.fasterxml.jackson.core:jackson-databind,https://github.com/FasterXML/jackson,https://github.com/FasterXML/jackson-databind,22806
org.springframework:spring-webmvc,https://github.com/spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,4560
com.google.guava:guava,https://github.com/google/guava,https://github.com/google/guava,28694
javax.servlet:javax.servlet-api,https://javaee.github.io/servlet-spec/,https://github.com/javaee/servlet-spec,14197
org.postgresql:postgresql,https://jdbc.postgresql.org,https://github.com/pgjdbc/pgjdbc,3552
org.hibernate:hibernate-core,https://hibernate.org/orm,https://github.com/hibernate/hibernate-orm,3452
org.mockito:mockito-core,https://github.com/mockito/mockito,https://github.com/mockito/mockito,24748
ch.qos.logback:logback-classic,http://logback.qos.ch,https://github.com/qos-ch/logback,26272
org.apache.httpcomponents:httpclient,http://hc.apache.org/httpcomponents-client-ga,https://github.com/apache/httpcomponents-client,11874
org.junit.jupiter:junit-jupiter-engine,https://junit.org/junit5/,https://github.com/junit-team/junit5,11255
commons-codec:commons-codec,https://commons.apache.org/proper/commons-codec/,https://github.com/apache/commons-codec,11092
com.alibaba:fastjson,https://github.com/alibaba/fastjson2,https://github.com/alibaba/fastjson2,5081
com.fasterxml.jackson.core:jackson-core,https://github.com/FasterXML/jackson-core,https://github.com/FasterXML/jackson-core,11890
org.testng:testng,https://testng.org,https://github.com/testng-team/testng,10016
org.springframework.security:spring-security-test,https://spring.io/projects/spring-security,https://github.com/spring-projects/spring-security,578
io.springfox:springfox-swagger2,https://github.com/springfox/springfox,https://github.com/springfox/springfox,1624
com.squareup.retrofit2:retrofit,https://github.com/square/retrofit,https://github.com/square/retrofit,1998
org.seleniumhq.selenium:selenium-java,https://selenium.dev/,https://github.com/SeleniumHQ/selenium,1779
org.hibernate:hibernate-validator,http://hibernate.org/validator,https://github.com/hibernate/hibernate-validator,3313
com.fasterxml.jackson.core:jackson-annotations,https://github.com/FasterXML/jackson,https://github.com/FasterXML/jackson-annotations,11078
joda-time:joda-time,https://www.joda.org/joda-time/,https://github.com/JodaOrg/joda-time,8932
org.mybatis:mybatis,https://www.mybatis.org/mybatis-3,https://github.com/mybatis/mybatis-3,1612
org.json:json,https://github.com/douglascrockford/JSON-java,https://github.com/douglascrockford/JSON-java,3806
org.apache.logging.log4j:log4j-core,https://logging.apache.org/log4j/3.x/,https://github.com/apache/logging-log4j2,8582
org.mybatis.spring.boot:mybatis-spring-boot-starter,https://www.mybatis.org/spring-boot-starter/,https://github.com/mybatis/spring-boot-starter,899
org.assertj:assertj-core,${project.organization.url}#${project.artifactId},https://github.com/assertj/assertj,14109
com.squareup.okhttp3:okhttp,https://square.github.io/okhttp/,https://github.com/square/okhttp,5582
org.aspectj:aspectjweaver,https://www.eclipse.org/aspectj/,https://github.com/eclipse/org.aspectj,2992
javax.validation:validation-api,http://beanvalidation.org,https://github.com/beanvalidation/beanvalidation-api,5522
org.mybatis:mybatis-spring,http://www.mybatis.org/spring/,https://github.com/mybatis/spring,678
io.jsonwebtoken:jjwt,https://github.com/jwtk/jjwt,https://github.com/jwtk/jjwt,1005
org.jsoup:jsoup,https://jsoup.org/,https://github.com/jhy/jsoup,2601
javax.xml.bind:jaxb-api,https://github.com/javaee/jaxb-spec,https://github.com/javaee/jaxb-spec,4828
com.alibaba:druid,https://github.com/alibaba/druid,https://github.com/alibaba/druid,1298
redis.clients:jedis,https://github.com/redis/jedis,https://github.com/redis/jedis,2012
org.springframework.cloud:spring-cloud-dependencies,https://spring.io/projects/spring-cloud,https://github.com/spring-cloud/spring-cloud-release,1685
com.jakewharton:butterknife,https://github.com/JakeWharton/butterknife/,https://github.com/JakeWharton/butterknife,96
org.hamcrest:hamcrest-all,https://github.com/hamcrest/JavaHamcrest,https://github.com/hamcrest/JavaHamcrest,6431
org.apache.httpcomponents:httpcore,http://hc.apache.org/httpcomponents-core-ga,https://github.com/apache/httpcomponents-core,4255
org.scala-lang:scala-library,https://www.scala-lang.org/,https://github.com/scala/scala,71048
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,https://github.com/FasterXML/jackson-modules-java8,https://github.com/FasterXML/jackson-modules-java8,4630
com.github.bumptech.glide:glide,https://github.com/bumptech/glide,https://github.com/bumptech/glide,581
org.springframework.data:spring-data-jpa,https://projects.spring.io/spring-data-jpa,https://github.com/spring-projects/spring-data-jpa,722
