Name,Package URL,Github,Downloads
boto3,https://pypi.org/project/boto3/,https://github.com/boto/boto3,825947200
urllib3,https://pypi.org/project/urllib3/,https://github.com/urllib3/urllib3,395719124
botocore,https://pypi.org/project/botocore/,https://github.com/boto/botocore,354781524
setuptools,https://pypi.org/project/setuptools/,https://github.com/pypa/setuptools,325119737
requests,https://pypi.org/project/requests/,https://github.com/psf/requests,321150859
typing-extensions,https://pypi.org/project/typing-extensions/,https://github.com/python/typing_extensions,296553463
certifi,https://pypi.org/project/certifi/,https://github.com/certifi/python-certifi,279118230
charset-normalizer,https://pypi.org/project/charset-normalizer/,https://github.com/Ousret/charset_normalizer,277662353
s3transfer,https://pypi.org/project/s3transfer/,https://github.com/boto/s3transfer,243682486
wheel,https://pypi.org/project/wheel/,https://github.com/pypa/wheel/issues,228781209
cryptography,https://pypi.org/project/cryptography/,https://github.com/pyca/cryptography,225238452
python-dateutil,https://pypi.org/project/python-dateutil/,https://github.com/dateutil/dateutil,206083246
idna,https://pypi.org/project/idna/,https://github.com/kjd/idna,204603972
PyYAML,https://pypi.org/project/PyYAML/,https://github.com/yaml/pyyaml,204541406
grpcio-status,https://pypi.org/project/grpcio-status/,https://grpc.io,189548645
google-api-core,https://pypi.org/project/google-api-core/,https://github.com/googleapis/python-api-core,183115848
six,https://pypi.org/project/six/,https://github.com/benjaminp/six,181881161
pytz,https://pypi.org/project/pytz/,http://pythonhosted.org/pytz,173209850
numpy,https://pypi.org/project/numpy/,https://github.com/numpy/numpy,169212007
importlib-metadata,https://pypi.org/project/importlib-metadata/,https://github.com/python/importlib_metadata,163018206
pip,https://pypi.org/project/pip/,https://github.com/pypa/pip,160969472
packaging,https://pypi.org/project/packaging/,https://github.com/pypa/packaging,154770539
zipp,https://pypi.org/project/zipp/,https://github.com/jaraco/zipp,151716027
awscli,https://pypi.org/project/awscli/,https://github.com/aws/aws-cli,146928606
aiobotocore,https://pypi.org/project/aiobotocore/,https://github.com/aio-libs/aiobotocore,140626019
protobuf,https://pypi.org/project/protobuf/,https://developers.google.com/protocol-buffers/,140467295
click,https://pypi.org/project/click/,https://github.com/pallets/click/,136831783
pandas,https://pypi.org/project/pandas/,https://pandas.pydata.org,129590852
pyasn1,https://pypi.org/project/pyasn1/,https://github.com/pyasn1/pyasn1,121686473
rsa,https://pypi.org/project/rsa/,https://stuvel.eu/rsa,120605123
fsspec,https://pypi.org/project/fsspec/,https://github.com/fsspec/filesystem_spec,120087791
PyJWT,https://pypi.org/project/PyJWT/,https://github.com/jpadilla/pyjwt,119774840
jmespath,https://pypi.org/project/jmespath/,https://github.com/jmespath/jmespath.py,119661517
MarkupSafe,https://pypi.org/project/MarkupSafe/,https://github.com/pallets/markupsafe/,118857309
s3fs,https://pypi.org/project/s3fs/,http://github.com/fsspec/s3fs/,114991376
attrs,https://pypi.org/project/attrs/,https://github.com/python-attrs/attrs,108748451
cffi,https://pypi.org/project/cffi/,https://github.com/python-cffi/cffi,108513719
psutil,https://pypi.org/project/psutil/,https://github.com/giampaolo/psutil,108387284
lxml,https://pypi.org/project/lxml/,https://github.com/lxml/lxml,106996109
pydantic,https://pypi.org/project/pydantic/,https://github.com/pydantic/pydantic,104846604
colorama,https://pypi.org/project/colorama/,https://github.com/tartley/colorama,104276079
platformdirs,https://pypi.org/project/platformdirs/,https://github.com/platformdirs/platformdirs,103152210
googleapis-common-protos,https://pypi.org/project/googleapis-common-protos/,https://github.com/googleapis/python-api-common-protos,102468215
pycparser,https://pypi.org/project/pycparser/,https://github.com/eliben/pycparser,100871105
google-auth,https://pypi.org/project/google-auth/,https://github.com/googleapis/google-auth-library-python,100464011
pyOpenSSL,https://pypi.org/project/pyOpenSSL/,https://github.com/pyca/pyopenssl,98524226
virtualenv,https://pypi.org/project/virtualenv/,https://github.com/pypa/virtualenv,96378082
cachetools,https://pypi.org/project/cachetools/,https://github.com/tkem/cachetools/,94788301
Werkzeug,https://pypi.org/project/Werkzeug/,https://github.com/pallets/werkzeug/,94488133
Jinja2,https://pypi.org/project/Jinja2/,https://github.com/pallets/jinja/,94179943
jsonschema,https://pypi.org/project/jsonschema/,https://github.com/python-jsonschema/jsonschema,93444857
filelock,https://pypi.org/project/filelock/,https://github.com/tox-dev/py-filelock,93254103
Flask,https://pypi.org/project/Flask/,https://github.com/pallets/flask/,88003901
SQLAlchemy,https://pypi.org/project/SQLAlchemy/,https://www.sqlalchemy.org,85783881
pyparsing,https://pypi.org/project/pyparsing/,https://github.com/pyparsing/pyparsing/,82392363
docutils,https://pypi.org/project/docutils/,https://docutils.sourceforge.io/,80960731
exceptiongroup,https://pypi.org/project/exceptiongroup/,https://github.com/agronholm/exceptiongroup,80489613
async-timeout,https://pypi.org/project/async-timeout/,https://github.com/aio-libs/async-timeout,80456841
tzlocal,https://pypi.org/project/tzlocal/,https://github.com/regebro/tzlocal,79784398
oauthlib,https://pypi.org/project/oauthlib/,https://github.com/oauthlib/oauthlib,79063263
pluggy,https://pypi.org/project/pluggy/,https://github.com/pytest-dev/pluggy,78828367
tomli,https://pypi.org/project/tomli/,https://github.com/hukkin/tomli,77913608
aiohttp,https://pypi.org/project/aiohttp/,https://github.com/aio-libs/aiohttp,73439058
grpcio,https://pypi.org/project/grpcio/,https://github.com/grpc/grpc,73374450
requests-oauthlib,https://pypi.org/project/requests-oauthlib/,https://github.com/requests/requests-oauthlib,72406635
pyarrow,https://pypi.org/project/pyarrow/,https://github.com/apache/arrow,72403466
pytest,https://pypi.org/project/pytest/,https://github.com/pytest-dev/pytest,72359042
wrapt,https://pypi.org/project/wrapt/,https://github.com/GrahamDumpleton/wrapt,71693741
