Name,Package URL,Github, Downloads
bundler,https://bundler.io/,https://github.com/rubygems/rubygems/tree/master/bundler,1767461282
aws-sdk-core,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-core,1101611289
aws-sigv4,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sigv4,959546016
jmespath,http://github.com/trevorrowe/jmespath.rb,http://github.com/trevorrowe/jmespath.rb,940842328
aws-partitions,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-partitions,884820494
i18n,https://github.com/ruby-i18n/i18n,https://github.com/ruby-i18n/i18n,825594848
diff-lcs,https://github.com/halostatue/diff-lcs,https://github.com/halostatue/diff-lcs,822102379
rspec-expectations,https://github.com/rspec/rspec-expectations,https://github.com/rspec/rspec-expectations,821852034
rspec-core,https://github.com/rspec/rspec-core,https://github.com/rspec/rspec-core,818672058
rspec-mocks,https://github.com/rspec/rspec-mocks,https://github.com/rspec/rspec-mocks,814509308
rspec-support,https://github.com/rspec/rspec-support,https://github.com/rspec/rspec-support,800144403
activesupport,https://rubyonrails.org,https://github.com/rails/rails/tree/v7.1.0/activesupport,800082963
rack,https://github.com/rack/rack,https://github.com/rack/rack,788005187
aws-eventstream,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-eventstream,783162644
tzinfo,https://tzinfo.github.io,https://github.com/tzinfo/tzinfo/tree/v2.0.6,780466079
rake,https://github.com/ruby/rake,https://github.com/ruby/rake/tree/v13.0.6,768040522
multi_json,https://github.com/intridea/multi_json,https://github.com/intridea/multi_json/tree/v1.15.0,739737491
json,http://flori.github.io/json/,https://github.com/flori/json,729304139
rspec,http://github.com/rspec,https://github.com/rspec/rspec-metagem,721681703
minitest,https://github.com/minitest/minitest,https://github.com/minitest/minitest,717350362
concurrent-ruby,http://www.concurrent-ruby.com,https://github.com/ruby-concurrency/concurrent-ruby,710634131
nokogiri,https://nokogiri.org,https://github.com/sparklemotion/nokogiri,708968368
faraday,https://lostisland.github.io/faraday,https://github.com/lostisland/faraday,697920502
thor,http://whatisthor.com/,https://github.com/rails/thor/tree/v1.2.2,688701311
addressable,https://github.com/sporkmonger/addressable,https://github.com/sporkmonger/addressable,675581280
aws-sdk-s3,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-s3,645412462
mime-types,https://github.com/mime-types/ruby-mime-types/,https://github.com/mime-types/ruby-mime-types/,642885924
aws-sdk-kms,https://github.com/aws/aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby/tree/version-3/gems/aws-sdk-kms,634167247
